count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,day_of_week,month,is_weekend,hour_bin,total_vehicles,total_cycles,vehicle_density_km,hgv_dominant,mean_vehicles_by_direction,lat_lon_delta
52,E,2019,2019-09-06,17,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,6,1,16,0,8,0,0,0,0,0,0,0,25,4,9,0,Afternoon,25,6,12.5,0,598.2,3.347628124432228
52,E,2019,2019-09-06,12,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,9,1,28,0,8,0,0,0,0,0,0,0,37,4,9,0,Afternoon,37,9,18.5,0,598.2,3.347628124432228
52,E,2019,2019-09-06,14,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,7,0,18,0,9,0,0,0,0,0,0,0,27,4,9,0,Afternoon,27,7,13.5,0,598.2,3.347628124432228
52,W,2019,2019-09-06,14,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,3,1,20,1,11,0,0,0,0,0,0,0,33,4,9,0,Afternoon,33,3,16.5,0,779.0666666666667,3.347628124432228
52,W,2019,2019-09-06,12,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,3,0,19,1,9,0,0,0,0,0,0,0,29,4,9,0,Afternoon,29,3,14.5,0,779.0666666666667,3.347628124432228
52,W,2019,2019-09-06,17,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,4,2,8,1,12,0,0,0,0,0,0,0,23,4,9,0,Afternoon,23,4,11.5,0,779.0666666666667,3.347628124432228
52,W,2019,2019-09-06,18,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,4,0,13,0,6,0,0,0,0,0,0,0,19,4,9,0,Evening,19,4,9.5,0,779.0666666666667,3.347628124432228
52,E,2019,2019-09-06,9,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,4,0,19,0,12,1,0,0,0,0,0,1,32,4,9,0,Morning,32,4,16.0,0,598.2,3.347628124432228
52,W,2019,2019-09-06,10,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,3,1,24,1,12,0,0,0,0,0,0,0,38,4,9,0,Morning,38,3,19.0,0,779.0666666666667,3.347628124432228
52,E,2019,2019-09-06,8,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,4,1,9,0,7,0,0,0,0,0,0,0,17,4,9,0,Morning,17,4,8.5,0,598.2,3.347628124432228
52,E,2019,2019-09-06,18,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,0,1,10,0,3,0,0,0,0,0,0,0,14,4,9,0,Evening,14,0,7.0,0,598.2,3.347628124432228
