"count_point_id","direction_of_travel","year","count_date","hour","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
52,"E",2019,"2019-09-06",17,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,6,1,16,0,8,0,0,0,0,0,0,0,25
52,"E",2019,"2019-09-06",12,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,9,1,28,0,8,0,0,0,0,0,0,0,37
52,"E",2019,"2019-09-06",14,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,7,0,18,0,9,0,0,0,0,0,0,0,27
52,"W",2019,"2019-09-06",14,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,1,20,1,11,0,0,0,0,0,0,0,33
52,"W",2019,"2019-09-06",12,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,0,19,1,9,0,0,0,0,0,0,0,29
52,"W",2019,"2019-09-06",17,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,4,2,8,1,12,0,0,0,0,0,0,0,23
52,"W",2019,"2019-09-06",18,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,4,0,13,0,6,0,0,0,0,0,0,0,19
52,"E",2019,"2019-09-06",9,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,4,0,19,0,12,1,0,0,0,0,0,1,32
52,"W",2019,"2019-09-06",10,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,1,24,1,12,0,0,0,0,0,0,0,38
52,"E",2019,"2019-09-06",8,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,4,1,9,0,7,0,0,0,0,0,0,0,17
52,"E",2019,"2019-09-06",18,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,0,1,10,0,3,0,0,0,0,0,0,0,14
52,"W",2019,"2019-09-06",15,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,5,1,27,1,22,0,0,0,0,0,0,0,51
52,"E",2019,"2019-09-06",13,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,8,0,22,0,6,0,0,0,0,0,0,0,28
52,"E",2019,"2019-09-06",10,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,7,1,20,0,7,2,0,0,0,0,0,2,30
52,"W",2019,"2019-09-06",16,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,6,2,17,1,16,0,0,0,0,0,0,0,36
52,"E",2019,"2019-09-06",11,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,8,2,14,0,7,0,0,0,0,0,0,0,23
52,"E",2019,"2019-09-06",7,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,1,4,0,4,0,0,0,0,0,0,0,9
52,"W",2019,"2019-09-06",7,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,4,0,10,0,6,0,0,0,0,0,0,0,16
52,"W",2019,"2019-09-06",8,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,41,2,33,0,10,0,0,0,0,0,0,0,45
52,"W",2019,"2019-09-06",13,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,0,15,0,11,1,0,0,0,0,0,1,27
52,"W",2019,"2019-09-06",9,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,10,3,20,1,16,1,0,0,0,0,0,1,41
52,"E",2019,"2019-09-06",15,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,29,1,33,0,11,0,0,0,0,0,0,0,45
52,"W",2019,"2019-09-06",11,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,3,2,7,1,21,0,0,0,0,0,0,0,31
52,"E",2019,"2019-09-06",16,1,"South West",1,"Isles of Scilly","A3112","Major","A3111","A3110",91203,10217,49.91223900,-6.30284770,2.00,1.24,9,1,13,0,7,0,0,0,0,0,0,0,21
6016,"W",2019,"2019-10-02",14,1,"South West",68,"Wiltshire","M4","Major","LA Boundary",17,389200,179080,51.51054200,-2.15701490,10.00,6.21,0,5,1522,7,554,44,19,11,18,67,95,254,2342
